Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-02-19 19:00:00,11098.31,11185.25,11027.17,11166.95,226.22,2519570.17,11137.57
2018-02-19 19:30:00,11168.1,11210,11123.25,11156.99,290.53,3246052.28,11172.89
2018-02-19 20:00:00,11159.05,11166.07,11064.91,11130.99,138.49,1540293.98,11121.77
2018-02-19 20:30:00,11131,11245.51,11123.29,11245.51,239.91,2686314.32,11197
2018-02-19 21:00:00,11235,11245.71,11097.23,11166.7,334.41,3737492.01,11176.23
2018-02-19 21:30:00,11162.37,11162.37,10992.86,11063.53,1225.4,13517148.57,11030.85
2018-02-19 22:00:00,11070.62,11143.41,11041.14,11125.48,128.84,1429123.52,11092.11
2018-02-19 22:30:00,11125.48,11171.76,11046.78,11061.33,126.87,1411457.49,11125.05
2018-02-19 23:00:00,11061.33,11146.66,11042.11,11128.83,91.65,1015839.69,11083.88
2018-02-19 23:30:00,11128.82,11196.29,11109.48,11173,181,2019178.07,11155.58
2018-02-20 00:00:00,11159.12,11417.39,11154.06,11400,785.68,8903329.81,11331.99
2018-02-20 00:30:00,11400,11430.44,11329.25,11414.26,257.02,2929246.68,11396.91
2018-02-20 01:00:00,11405.51,11500,11390.35,11470.1,486.36,5576075.25,11464.8
2018-02-20 01:30:00,11470.35,11496.54,11409.18,11479.89,240.57,2757294.75,11461.51
2018-02-20 02:00:00,11490.49,11496.5,11412.32,11437.99,139.87,1603281.29,11462.64
2018-02-20 02:30:00,11435.69,11461.5,11335.02,11374.98,192.19,2191549.26,11402.77
2018-02-20 03:00:00,11375,11404.48,11323.16,11386.86,260.59,2962013.22,11366.78
2018-02-20 03:30:00,11371.55,11452.45,11371.55,11429.52,97.13,1107562.74,11402.49
2018-02-20 04:00:00,11429.4,11492.77,11417.1,11462.58,64.41,737993.79,11457.49
2018-02-20 04:30:00,11466.96,11517.28,11442,11444.67,337.99,3883649.71,11490.46
2018-02-20 05:00:00,11444.67,11471.37,11377.12,11418.24,101.08,1154830.45,11424.4
2018-02-20 05:30:00,11436.08,11473.88,11395.84,11455,71.83,821742.26,11440.3
2018-02-20 06:00:00,11455,11480.88,11432.48,11459.75,69.81,799680.05,11454.94
2018-02-20 06:30:00,11445,11577.85,11423.18,11575.81,457.2,5246898.26,11476.07
2018-02-20 07:00:00,11577.85,11586.98,11492.48,11586.98,167.64,1935096.47,11543.17
2018-02-20 07:30:00,11576.43,11645.67,11528.3,11533.86,404.66,4687576.81,11583.98
2018-02-20 08:00:00,11548.11,11576.56,11393.02,11460.8,271.21,3110483.94,11468.99
2018-02-20 08:30:00,11460.8,11496.26,11275.74,11341.13,472.41,5367769.03,11362.64
2018-02-20 09:00:00,11349,11359.9,11191.59,11235.5,455.05,5120944.98,11253.62
2018-02-20 09:30:00,11235.06,11382.47,11209.65,11346.13,285.35,3226719.17,11307.92
2018-02-20 10:00:00,11346.13,11398.81,11259.72,11362.13,227.79,2581966.55,11334.87
2018-02-20 10:30:00,11369.88,11429.88,11352.59,11402.33,151.71,1729469.07,11399.78
2018-02-20 11:00:00,11393,11400.8,11301.71,11365.2,142.16,1612644.73,11343.67
2018-02-20 11:30:00,11365.61,11462.71,11359.66,11428.8,509.18,5819978.19,11429.99
2018-02-20 12:00:00,11454.01,11531,11421.93,11502.4,259.4,2980088.56,11488.28
2018-02-20 12:30:00,11507.4,11518.6,11416.52,11433.82,122.52,1404782.35,11465.87
2018-02-20 13:00:00,11420,11560.81,11420,11542.59,204.5,2353030.01,11506.03
2018-02-20 13:30:00,11542.59,11600,11508.02,11531.02,226.21,2615768.16,11563.7
